pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,CASEligible
850328,,bse_fo,SO,TVSMOTOR,TVSMOTOR26SEP3380PE,PE,TVSMOTOR24SEP263380.00PE,,532343,,,TVSMOTOR26SEP3380PE,,,5,175,1790274599,1,2,338000,BSE,SO,1790274599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1790208000,1790208000,,,,,Physical,,0,1,0.00,175,0,295,5,1,1,1,0,0,1,0,-1,1,0,21000,false
854078,,bse_fo,SO,KOTAKBANK,KOTAKBANK26SEP435CE,CE,KOTAKBANK24SEP26435.00CE,,500247,,,KOTAKBANK26SEP435CE,,,5,2000,1790274599,1,2,43500,BSE,SO,1790274599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1790208000,1790208000,,,,,Physical,,0,1,0.00,2000,0,2070,5,1,1,1,0,0,1,0,-1,1,0,12000,false
864787,,bse_fo,SO,MARICO,MARICO26OCT870PE,PE,MARICO29OCT26870.00PE,,531642,,,MARICO26OCT870PE,,,5,1200,1793298599,1,2,87000,BSE,SO,1793298599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1793232000,1793232000,,,,,Physical,,0,1,0.00,1200,0,8300,2440,1,1,1,0,0,1,0,-1,1,0,48000,false
881107,,bse_fo,SO,DIVISLAB,DIVISLAB26OCT8800PE,PE,DIVISLAB29OCT268800.00PE,,532488,,,DIVISLAB26OCT8800PE,,,5,100,1793298599,1,2,880000,BSE,SO,1793298599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1793232000,1793232000,,,,,Physical,,0,1,0.00,100,0,23760,5,1,1,1,0,0,1,0,-1,1,0,8000,false
863675,,bse_fo,SO,BAJFINANCE,BAJFINANCE26OCT1100PE,PE,BAJFINANCE29OCT261100.00PE,,500034,,,BAJFINANCE26OCT1100PE,,,5,750,1793298599,1,2,110000,BSE,SO,1793298599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1793232000,1793232000,,,,,Physical,,0,1,0.00,750,0,14355,4005,1,1,1,0,0,1,0,-1,1,0,3750,false
1116198,,bse_fo,IO,SENSEX,SENSEX26O1578900CE,CE,SENSEX15OCT2678900.00CE,,1,,,SENSEX26O1578900CE,,,5,20,1792088999,1,2,7.89e+06,BSE,IO,1792088999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1792022400,1792022400,,,,,Cash,,0,1,0.00,20,0,38710,5,1,1,1,0,0,1,0,-1,1,0,1000,false
845679,,bse_fo,SO,BDL,BDL26SEP1400PE,PE,BDL24SEP261400.00PE,,541143,,,BDL26SEP1400PE,,,5,425,1790274599,1,2,140000,BSE,SO,1790274599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1790208000,1790208000,,,,,Physical,,0,1,0.00,425,0,36040,13285,1,1,1,0,0,1,0,-1,1,0,100000000,false
849898,,bse_fo,SO,CGPOWER,CGPOWER26SEP1030PE,PE,CGPOWER24SEP261030.00PE,,500093,,,CGPOWER26SEP1030PE,,,5,850,1790274599,1,2,103000,BSE,SO,1790274599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1790208000,1790208000,,,,,Physical,,0,1,0.00,850,0,22695,7075,1,1,1,0,0,1,0,-1,1,0,100000000,false
854517,,bse_fo,SO,NTPC,NTPC26SEP395CE,CE,NTPC24SEP26395.00CE,,532555,,,NTPC26SEP395CE,,,5,1500,1790274599,1,2,39500,BSE,SO,1790274599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1790208000,1790208000,,,,,Physical,,0,1,0.00,1500,0,2005,5,1,1,1,0,0,1,0,-1,1,0,150000,false
889451,,bse_fo,IO,SENSEX,SENSEX26O0871600CE,CE,SENSEX08OCT2671600.00CE,,1,,,SENSEX26O0871600CE,,,5,20,1791484199,1,2,7.16e+06,BSE,IO,1791484199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1791417600,1791417600,,,,,Cash,,0,1,0.00,20,0,522110,89860,1,1,1,0,0,1,0,-1,1,0,1000,false
